Date,Rain,Temp Max,Temp Min,Year,Month,TempRange,Rain_3day,Rain_7day
1984-04-16,0.0,35.09999847,25.09000015,1984,4,10.009998320000001,0.0,1080.487297200001
1984-04-17,0.0,35.90999985,24.93000031,1984,4,10.979999539999998,0.0,978.476344500001
1984-04-18,0.0,35.40000153,25.04999924,1984,4,10.350002289999999,0.0,152.37774880000103
1984-04-19,0.0,36.02999878,26.04999924,1984,4,9.979999540000001,0.0,0.0
1984-04-20,0.0,36.81999969,26.59000015,1984,4,10.229999540000001,0.0,0.0
1984-04-21,0.0,37.58000183,26.43000031,1984,4,11.15000152,0.0,0.0
1984-04-22,0.0,37.59999847,26.45999908,1984,4,11.139999390000003,0.0,0.0
1984-04-23,0.0,35.88000107,25.85000038,1984,4,10.030000689999998,0.0,0.0
1984-04-24,0.0,34.81000137,26.07999992,1984,4,8.730001450000003,0.0,0.0
1984-04-25,0.0,35.34000015,25.34000015,1984,4,10.0,0.0,0.0
1984-04-26,0.0,36.29000092,26.89999962,1984,4,9.390001299999998,0.0,0.0
1984-04-27,0.0,37.86999893,24.71999931,1984,4,13.149999620000003,0.0,0.0
1984-04-28,0.0,38.50999832,26.73999977,1984,4,11.76999855,0.0,0.0
1984-04-29,0.0,40.34000015,27.56999969,1984,4,12.770000460000002,0.0,0.0
1984-04-30,0.0,40.56999969,26.31999969,1984,4,14.250000000000004,0.0,0.0
1984-01-05,51.06869701,40.77999878,28.15999985,1984,1,12.619998930000001,51.068697010001365,51.068697010001024
1984-02-05,219.6928824,39.68000031,27.89999962,1984,2,11.780000689999998,270.7615794100014,270.76157941000105
1984-03-05,0.0,39.27999878,27.56999969,1984,3,11.70999909,270.76157941000133,270.761579410001
1984-04-05,0.0,38.11000061,26.62000084,1984,4,11.48999977,219.69288240000137,270.761579410001
1984-05-05,0.0,37.65000153,25.95999908,1984,5,11.690002449999998,0.0,270.761579410001
1984-06-05,56.85971469,37.83000183,25.80999947,1984,6,12.02000236,56.85971469000136,327.621294100001
1984-07-05,127.0348521,38.40999985,26.12000084,1984,7,12.289999009999999,183.89456679000136,454.656146200001
1984-08-05,40.49855703,38.59999847,26.68000031,1984,8,11.919998160000002,224.39312382000136,444.086006220001
1984-09-05,266.7458738,38.99000168,26.78000069,1984,9,12.210000989999998,434.2792829300014,491.1389976200011
1984-10-05,102.0109527,38.45000076,26.12999916,1984,10,12.320001600000001,409.25538353000144,593.149950320001
1984-11-05,826.0985957,36.81000137,26.13999939,1984,11,10.670001980000002,1194.8554222000014,1419.248546020001
1984-12-05,152.3777488,37.52000046,26.45999908,1984,12,11.06000138,1080.4872972000014,1571.626294820001
1984-05-13,0.0,38.5,27.29000092,1984,5,11.20999908,978.4763445000015,1514.766580130001
1984-05-14,0.0,38.40999985,27.23999977,1984,5,11.170000079999998,152.37774880000137,1387.731728030001
1984-05-15,0.0,39.22000122,27.78000069,1984,5,11.440000529999999,0.0,1347.233171000001
1984-05-16,0.0,40.61000061,28.26000023,1984,5,12.35000038,0.0,1080.487297200001
1984-05-17,0.0,39.59000015,28.37000084,1984,5,11.219999310000002,0.0,978.476344500001
1984-05-18,0.0,38.0,27.46999931,1984,5,10.530000690000001,0.0,152.37774880000103
1984-05-19,0.0,37.72000122,27.10000038,1984,5,10.62000084,0.0,0.0
1984-05-20,0.0,38.29000092,27.57999992,1984,5,10.710000999999998,0.0,0.0
1984-05-21,0.0,39.33000183,27.97999954,1984,5,11.350002289999999,0.0,0.0
1984-05-22,0.0,40.5,27.82999992,1984,5,12.670000080000001,0.0,0.0
1984-05-23,0.0,42.09999847,28.10000038,1984,5,13.999998090000002,0.0,0.0
1984-05-24,0.0,42.00999832,28.23999977,1984,5,13.76999855,0.0,0.0
1984-05-25,0.0,41.66999817,28.07999992,1984,5,13.58999825,0.0,0.0
1984-05-26,0.0,41.34999847,28.85000038,1984,5,12.499998090000002,0.0,0.0
1984-05-27,0.0,41.09999847,29.42000008,1984,5,11.679998390000002,0.0,0.0
1984-05-28,0.0,39.79999924,29.37999916,1984,5,10.420000079999998,0.0,0.0
1984-05-29,0.0,37.81999969,29.54000092,1984,5,8.279998770000002,0.0,0.0
1984-05-30,0.0,38.59999847,29.04999924,1984,5,9.549999230000005,0.0,0.0
1984-05-31,0.0,40.66999817,29.37000084,1984,5,11.29999733,0.0,0.0
1984-01-06,51.06869701,40.66999817,29.45000076,1984,1,11.219997409999998,51.068697010001365,51.068697010001024
1984-02-06,219.6928824,41.25,28.82999992,1984,2,12.420000080000001,270.7615794100014,270.76157941000105
1984-03-06,0.0,40.74000168,28.02000046,1984,3,12.72000122,270.76157941000133,270.761579410001
1984-04-06,0.0,39.54000092,28.54000092,1984,4,10.999999999999996,219.69288240000137,270.761579410001
1984-05-06,0.0,40.20999908,27.98999977,1984,5,12.219999310000002,0.0,270.761579410001
1984-06-06,56.85971469,40.11000061,28.35000038,1984,6,11.76000023,56.85971469000136,327.621294100001
1984-07-06,127.0348521,40.08000183,27.86000061,1984,7,12.22000122,183.89456679000136,454.656146200001
1984-08-06,40.49855703,39.11999893,27.01000023,1984,8,12.109998700000002,224.39312382000136,444.086006220001
1984-09-06,266.7458738,38.66999817,26.77000046,1984,9,11.899997710000001,434.2792829300014,491.1389976200011
1984-10-06,102.0109527,33.27999878,27.14999962,1984,10,6.129999160000001,409.25538353000144,593.149950320001
1984-11-06,826.0985957,35.79999924,24.55999947,1984,11,11.239999769999997,1194.8554222000014,1419.248546020001
1984-12-06,152.3777488,32.50999832,26.21999931,1984,12,6.2899990100000025,1080.4872972000014,1571.626294820001
1984-06-13,56.85971469,34.56000137,26.92000008,1984,6,7.640001290000001,1035.3360591900014,1571.6262948200012
1984-06-14,56.85971469,36.31000137,26.97999954,1984,6,9.33000183,266.0971781800014,1501.451157410001
1984-06-15,56.85971469,36.34999847,27.22999954,1984,6,9.119998930000001,170.57914406999998,1517.812315070001
1984-06-16,56.85971469,36.70000076,27.54999924,1984,6,9.150001520000004,170.57914406999998,1307.926155960001
1984-06-17,56.85971469,38.38999939,27.78000069,1984,6,10.609998699999998,170.57914406999998,1262.774917950001
1984-06-18,56.85971469,38.63000107,25.48999977,1984,6,13.140001299999998,170.57914406999998,493.536036940001
1984-06-19,56.85971469,35.25,26.80999947,1984,6,8.440000529999999,170.57914406999998,398.01800283
1984-06-20,56.85971469,36.02000046,26.56999969,1984,6,9.450000769999999,170.57914406999998,398.01800283
1984-06-21,56.85971469,37.56000137,26.87000084,1984,6,10.690000530000002,170.57914406999998,398.01800283
1984-06-22,56.85971469,38.34999847,27.28000069,1984,6,11.069997780000001,170.57914406999998,398.01800283
1984-06-23,56.85971469,37.84999847,27.12000084,1984,6,10.729997630000003,170.57914406999998,398.01800283
1984-06-24,56.85971469,38.06999969,26.47999954,1984,6,11.590000150000002,170.57914406999998,398.01800283
1984-06-25,56.85971469,38.47000122,25.82999992,1984,6,12.640001300000002,170.57914406999998,398.01800283
1984-06-26,56.85971469,38.54000092,27.57999992,1984,6,10.960000999999998,170.57914406999998,398.01800283
1984-06-27,56.85971469,38.45000076,27.82999992,1984,6,10.620000840000003,170.57914406999998,398.01800283
1984-06-28,56.85971469,38.29000092,25.88999939,1984,6,12.400001529999997,170.57914406999998,398.01800283
1984-06-29,56.85971469,37.79999924,26.23999977,1984,6,11.559999469999998,170.57914406999998,398.01800283
1984-06-30,56.85971469,37.20000076,26.55999947,1984,6,10.64000129,170.57914406999998,398.01800283
1984-01-07,51.06869701,35.65999985,26.87000084,1984,1,8.789999009999999,164.78812639000137,392.226985150001
1984-02-07,219.6928824,35.68999863,25.54999924,1984,2,10.13999939,327.62129410000136,555.060152860001
1984-03-07,0.0,36.84000015,26.70999908,1984,3,10.130001070000002,270.7615794100014,498.200438170001
1984-04-07,0.0,37.11999893,26.82999992,1984,4,10.289999010000002,219.69288240000137,441.340723480001
1984-05-07,0.0,37.59999847,26.96999931,1984,5,10.629999160000004,0.0,384.48100879000106
1984-06-07,56.85971469,36.97999954,27.21999931,1984,6,9.760000230000003,56.85971469000136,384.48100879000106
1984-07-07,127.0348521,37.72000122,24.82999992,1984,7,12.890001300000002,183.89456679000136,454.656146200001
1984-08-07,40.49855703,36.29999924,25.43000031,1984,8,10.869998929999998,224.39312382000136,444.086006220001
1984-09-07,266.7458738,35.75999832,23.86000061,1984,9,11.899997710000001,434.2792829300014,491.1389976200011
1984-10-07,102.0109527,33.61000061,25.26000023,1984,10,8.35000038,409.25538353000144,593.149950320001
1984-11-07,826.0985957,36.90999985,23.87000084,1984,11,13.039999009999999,1194.8554222000014,1419.248546020001
1984-12-07,152.3777488,33.15999985,22.47999954,1984,12,10.680000309999997,1080.4872972000014,1571.626294820001
1984-07-13,127.0348521,32.56999969,24.30999947,1984,7,8.260000220000002,1105.5111966000013,1641.8014322300012
1984-07-14,127.0348521,32.40000153,24.25,1984,7,8.150001529999997,406.44745300000136,1641.801432230001
1984-07-15,127.0348521,33.79999924,25.04999924,1984,7,8.75,381.1045563,1728.337727300001
1984-07-16,127.0348521,33.20999908,24.89999962,1984,7,8.309999460000004,381.1045563,1588.626705600001
1984-07-17,127.0348521,33.75999832,23.69000053,1984,7,10.069997790000002,381.1045563,1613.650605000001
1984-07-18,127.0348521,32.13000107,24.64999962,1984,7,7.48000145,381.1045563,914.586861400001
1984-07-19,127.0348521,34.08000183,24.94000053,1984,7,9.140001300000002,381.1045563,889.2439647
1984-07-20,127.0348521,34.88999939,25.34000015,1984,7,9.549999239999998,381.1045563,889.2439647
1984-07-21,127.0348521,35.47999954,23.18000031,1984,7,12.299999230000001,381.1045563,889.2439647
